,index,Test Number,CAS Number,Chemical Name,Test Method,Species Scientific Name,Organism Lifestage,Organism Age Mean,Organism Age Min,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean (Standardized),Conc 1 Min (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Observed Duration Mean (Days),Observed Duration Min (Days),Observed Duration Max (Days),Observed Duration Units (Days),Test Type,Temperature Mean,Temperature Min,Temperature Max,Temperature Units,Hardness Mean,Hardness Min,Hardness Max,Hardness Units,pH Mean,pH Min,pH Max,Author,Title,Publication Year
17,1449,1267094,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,7,Total,0.096,NR,NR,AI mg/L,Reproduction,Net Reproductive Rate,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
27,1457,1267086,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,7,Total,0.124,NR,NR,AI mg/L,Reproduction,Net Reproductive Rate,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
33,1469,1267088,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,7,Total,0.112,NR,NR,AI mg/L,Reproduction,Net Reproductive Rate,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
37,1479,1267090,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,7,Total,0.123,NR,NR,AI mg/L,Reproduction,Net Reproductive Rate,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
46,1434,1273265,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,6,Total,0.084,0.068,0.105,AI mg/L,Reproduction,Progeny counts/numbers,EC10,14.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,7.6,,,"Muyssen,B.T.A., and C.R. Janssen",Age and Exposure Duration as a Factor Influencing Cu and Zn Toxicity Toward Daphnia magna,2007
47,1428,1273267,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,7,NR,NR,Day(s),Renewal,Fresh water,Lab,6,Total,0.085,0.06,0.121,AI mg/L,Reproduction,Progeny counts/numbers,EC10,14.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,7.6,,,"Muyssen,B.T.A., and C.R. Janssen",Age and Exposure Duration as a Factor Influencing Cu and Zn Toxicity Toward Daphnia magna,2007
50,1501,1267096,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,7,Total,0.115,NR,NR,AI mg/L,Reproduction,Net Reproductive Rate,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
51,1505,1267084,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,7,Total,0.115,NR,NR,AI mg/L,Reproduction,Net Reproductive Rate,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
53,1511,1273266,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,6,Total,0.136,0.123,0.149,AI mg/L,Reproduction,Progeny counts/numbers,EC50,14.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,7.6,,,"Muyssen,B.T.A., and C.R. Janssen",Age and Exposure Duration as a Factor Influencing Cu and Zn Toxicity Toward Daphnia magna,2007
55,1516,1267082,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,7,Total,0.12,NR,NR,AI mg/L,Reproduction,Net Reproductive Rate,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
56,1520,1273268,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,7,NR,NR,Day(s),Renewal,Fresh water,Lab,6,Total,0.135,0.115,0.159,AI mg/L,Reproduction,Progeny counts/numbers,EC50,14.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,7.6,,,"Muyssen,B.T.A., and C.R. Janssen",Age and Exposure Duration as a Factor Influencing Cu and Zn Toxicity Toward Daphnia magna,2007
62,1452,1267092,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,7,Total,0.091,NR,NR,AI mg/L,Reproduction,Net Reproductive Rate,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
150,1776,1259034,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,8,Total,0.0075,NR,NR,AI mg/L,Reproduction,Net Reproductive Rate,EC10,17.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,,,"Knops,M., R. Altenburger, and H. Segner","Alterations of Physiological Energetics, Growth and Reproduction of Daphnia magna Under Toxicant Stress",2001
423,2199,1285188,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00557,0.00538,0.00575,AI mg/L,Reproduction,Reproductive success (general),EC20,21.0,NR,NR,Day(s),Not coded,20,,,C,100,,,mg/L CaCO3,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
424,2197,1286055,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00543,0.00521,0.00564,AI mg/L,Reproduction,Reproductive success (general),EC20,21.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
426,2202,1285215,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00604,0.00551,0.0067,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
427,2203,1285220,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.0061,0.00593,0.00626,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
428,2204,1285235,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00693,0.00681,0.00712,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,100,,,mg/L CaCO3,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
429,2208,1285236,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00617,0.006,0.00635,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,100,,,mg/L CaCO3,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
431,2210,1285208,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.0061,0.00593,0.00626,AI mg/L,Reproduction,Reproductive success (general),EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
432,2213,1286059,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00663,0.00648,0.00678,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,100,,,mg/L CaCO3,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
436,2215,1285218,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00666,0.00636,0.00697,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
441,2243,1286052,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00617,0.006,0.00635,AI mg/L,Reproduction,Reproductive success (general),EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,100,,,mg/L CaCO3,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
442,2242,1285216,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00661,0.00647,0.00676,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,100,,,mg/L CaCO3,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
443,2241,1286056,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00551,0.00495,0.00614,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,100,,,mg/L CaCO3,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
446,2216,1285213,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00642,0.00619,0.00665,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
447,2223,1285219,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00652,0.00633,0.00671,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
448,2230,1285212,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00696,0.00685,0.00712,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,100,,,mg/L CaCO3,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
450,2232,1285237,7761888,Nitric acid silver (1+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,10,Total,0.00587,0.00572,0.00602,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,8.16,,,"Bianchini,A., and C.M. Wood",Does Sulfide or Water Hardness Protect Against Chronic Silver Toxicity in Daphnia magna?  A Critial Assessment of the Acute-to-Chronic Toxicity Ratio for Silver,2008
452,1597,2140063,7718549,Nickel chloride (NiCl2),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,6,Total,0.3109,NR,NR,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Chronic,20,,,C,,,,NR,,,,"Pavlaki,M.D., A.L.G. Ferreira, A.M.V.M. Soares, and S. Loureiro",Changes of Chemical Chronic Toxicity to Daphnia magna Under Different Food Regimes,2014
453,1582,2140067,7718549,Nickel chloride (NiCl2),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,6,Total,0.29035,NR,NR,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Chronic,20,,,C,,,,NR,,,,"Pavlaki,M.D., A.L.G. Ferreira, A.M.V.M. Soares, and S. Loureiro",Changes of Chemical Chronic Toxicity to Daphnia magna Under Different Food Regimes,2014
454,1583,2140065,7718549,Nickel chloride (NiCl2),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,6,Total,0.27355,NR,NR,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Chronic,20,,,C,,,,NR,,,,"Pavlaki,M.D., A.L.G. Ferreira, A.M.V.M. Soares, and S. Loureiro",Changes of Chemical Chronic Toxicity to Daphnia magna Under Different Food Regimes,2014
455,1586,2140052,7718549,Nickel chloride (NiCl2),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,6,Total,0.1,NR,NR,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Chronic,20,,,C,,,,NR,,,,"Pavlaki,M.D., A.L.G. Ferreira, A.M.V.M. Soares, and S. Loureiro",Changes of Chemical Chronic Toxicity to Daphnia magna Under Different Food Regimes,2014
456,1591,2140064,7718549,Nickel chloride (NiCl2),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,6,Total,0.28209,NR,NR,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Chronic,20,,,C,,,,NR,,,,"Pavlaki,M.D., A.L.G. Ferreira, A.M.V.M. Soares, and S. Loureiro",Changes of Chemical Chronic Toxicity to Daphnia magna Under Different Food Regimes,2014
458,1596,2140066,7718549,Nickel chloride (NiCl2),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,6,Total,0.25667,NR,NR,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Chronic,20,,,C,,,,NR,,,,"Pavlaki,M.D., A.L.G. Ferreira, A.M.V.M. Soares, and S. Loureiro",Changes of Chemical Chronic Toxicity to Daphnia magna Under Different Food Regimes,2014
459,1592,2140061,7718549,Nickel chloride (NiCl2),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,6,Total,0.27891,NR,NR,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Chronic,20,,,C,,,,NR,,,,"Pavlaki,M.D., A.L.G. Ferreira, A.M.V.M. Soares, and S. Loureiro",Changes of Chemical Chronic Toxicity to Daphnia magna Under Different Food Regimes,2014
749,3391,1253756,10588019,Chromic acid (H2Cr2O7) disodium salt,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,7,Total,0.047,0.042,0.053,AI mg/L,Reproduction,Progeny counts/numbers,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,,,"Diamantino,T.C., L. Guilhermino, E. Almeida, and A.M.V.M. Soares","Toxicity of Sodium Molybdate and Sodium Dichromate to Daphnia magna Straus Evaluated in Acute, Chronic, and Acetylcholinesterase Inhibition Tests",2000
861,3031,1214276,10108642,Cadmium chloride (CdCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,NR,Total,0.0061,NR,NR,AI mg/L,Reproduction,Viability,EC50,21.0,NR,NR,Day(s),Not coded,20,,,C,,,,HARD,,,,"Guilhermino,L., O. Sobral, C. Chastinet, R. Ribeiro, F. Goncalves, M.C. Silva, and A.M.V.M. Soares",A Daphnia magna First-Brood Chronic Test:  An Alternative to the Conventional 21-Day Chronic Bioassay?,1999
